index	sentence	label
0	@Diagnostic_tool$ Reflective Drusen Substructures Predict Progression to Geographic Atrophy in @Disease$.	0
1	We sought to detect and define phenotypic patterns of drusen heterogeneity in the form of @Diagnostic_tool$-reflective drusen substructures (ODS) and examine their associations with @Disease$ (AMD)-related features and AMD progression.	1
2	We sought to detect and define phenotypic patterns of drusen heterogeneity in the form of @Diagnostic_tool$-reflective drusen substructures (ODS) and examine their associations with age-related macular degeneration (@Disease$)-related features and AMD progression.	1
3	We sought to detect and define phenotypic patterns of drusen heterogeneity in the form of @Diagnostic_tool$-reflective drusen substructures (ODS) and examine their associations with age-related macular degeneration (AMD)-related features and @Disease$ progression.	0
4	Patients with @Disease$ (n = 349) enrolled in the multicenter Age-Related Eye Disease Study 2 (AREDS2) ancillary @Diagnostic_tool$ (SD OCT) study.	1
5	Patients with @Disease$ (n = 349) enrolled in the multicenter Age-Related Eye Disease Study 2 (AREDS2) ancillary spectral-domain optical coherence tomography (@Diagnostic_tool$) study.	0
6	Cross-sectional and longitudinal associations of ODS presence with @Disease$-related features visible on SD OCT and @Diagnostic_tool$, including drusen volume, geographic atrophy (GA), and preatrophic features, were evaluated for the entire macular region.	0
7	Cross-sectional and longitudinal associations of ODS presence with @Disease$-related features visible on @Diagnostic_tool$ and color photographs, including drusen volume, geographic atrophy (GA), and preatrophic features, were evaluated for the entire macular region.	0
8	@Diagnostic_tool$-reflective drusen substructures are optical coherence tomography-based biomarkers of progression to GA, but not to CNV, in eyes with @Disease$.	0
9	Optical coherence tomography-reflective drusen substructures are @Diagnostic_tool$-based biomarkers of progression to GA, but not to CNV, in eyes with @Disease$.	0
10	@Diagnostic_tool$-reflective drusen substructures may be a clinical entity helpful in monitoring @Disease$ progression and informing mechanisms in GA pathogenesis.	1
11	@Diagnostic_tool$ and optical coherence tomographic results of the MARINA study of ranibizumab in @Disease$.	1
12	Angiographic and @Diagnostic_tool$ results of the MARINA study of ranibizumab in @Disease$.	1
13	Patients with minimally classic or occult with no @Disease$ treated with ranibizumab demonstrated improvement that was consistent for @Diagnostic_tool$, FA, and OCT outcomes and superior to that in sham-treated patients.	0
14	Patients with minimally classic or occult with no @Disease$ treated with ranibizumab demonstrated improvement that was consistent for visual acuity, @Diagnostic_tool$, and OCT outcomes and superior to that in sham-treated patients.	0
15	Patients with minimally classic or occult with no @Disease$ treated with ranibizumab demonstrated improvement that was consistent for visual acuity, FA, and @Diagnostic_tool$ outcomes and superior to that in sham-treated patients.	0
16	Reproducibility of evaluation of optic disc change for @Disease$ with @Diagnostic_tool$.	1
17	@Diagnostic_tool$ and optical coherence tomography in normal, @Disease$, and glaucomatous eyes.	0
18	Heidelberg retina tomography and @Diagnostic_tool$ in normal, @Disease$, and glaucomatous eyes.	0
19	@Diagnostic_tool$ and optical coherence tomography in normal, ocular-hypertensive, and @Disease$ eyes.	0
20	Heidelberg retina tomography and @Diagnostic_tool$ in normal, ocular-hypertensive, and @Disease$ eyes.	0
21	To evaluate optic disc and retinal nerve fiber layer (RNFL) appearance in normal, @Disease$, and glaucomatous eyes undergoing @Diagnostic_tool$ and optical coherence tomography (OCT).	0
22	To evaluate optic disc and retinal nerve fiber layer (RNFL) appearance in normal, @Disease$, and glaucomatous eyes undergoing confocal scanning laser ophthalmoscopy and @Diagnostic_tool$ (OCT).	0
23	To evaluate optic disc and retinal nerve fiber layer (RNFL) appearance in normal, @Disease$, and glaucomatous eyes undergoing confocal scanning laser ophthalmoscopy and optical coherence tomography (@Diagnostic_tool$).	0
24	To evaluate optic disc and retinal nerve fiber layer (RNFL) appearance in normal, ocular-hypertensive, and @Disease$ eyes undergoing @Diagnostic_tool$ and optical coherence tomography (OCT).	0
25	To evaluate optic disc and retinal nerve fiber layer (RNFL) appearance in normal, ocular-hypertensive, and @Disease$ eyes undergoing confocal scanning laser ophthalmoscopy and @Diagnostic_tool$ (OCT).	0
26	To evaluate optic disc and retinal nerve fiber layer (RNFL) appearance in normal, ocular-hypertensive, and @Disease$ eyes undergoing confocal scanning laser ophthalmoscopy and optical coherence tomography (@Diagnostic_tool$).	0
27	@Diagnostic_tool$ measurements of rim area, cup-disc ratio, cup shape measure, RNFL thickness, and RNFL cross-sectional area were significantly less in @Disease$ eyes (all P  <  0.005) and were correlated with mean OCT RNFL thickness (all P  <  0.02).	0
28	Both @Diagnostic_tool$ and OCT can differentiate @Disease$ from nonglaucomatous eyes.	1
29	Both HRT and @Diagnostic_tool$ can differentiate @Disease$ from nonglaucomatous eyes.	1
30	@Diagnostic_tool$ from @Disease$ screening programs.	1
31	By using a small number of adjudicated consensus grades as a tuning dataset and @Diagnostic_tool$ as input, the algorithm improved in AUC from 0.934 to 0.986 for @Disease$.	0
32	Comparison between optical coherence tomography and @Diagnostic_tool$ for the detection of cystoid macular edema in patients with @Disease$.	0
33	Comparison between @Diagnostic_tool$ and fundus fluorescein angiography for the detection of cystoid macular edema in patients with @Disease$.	0
34	Comparison between optical coherence tomography and @Diagnostic_tool$ for the detection of @Disease$ in patients with uveitis.	1
35	Comparison between @Diagnostic_tool$ and fundus fluorescein angiography for the detection of @Disease$ in patients with uveitis.	1
36	To compare @Diagnostic_tool$ (OCT) with fundus fluorescein angiography (FFA) for the detection of @Disease$ (CME) in patients with uveitis.	1
37	To compare optical coherence tomography (OCT) with @Diagnostic_tool$ (FFA) for the detection of @Disease$ (CME) in patients with uveitis.	1
38	To compare optical coherence tomography (@Diagnostic_tool$) with fundus fluorescein angiography (FFA) for the detection of @Disease$ (CME) in patients with uveitis.	0
39	To compare optical coherence tomography (OCT) with fundus fluorescein angiography (@Diagnostic_tool$) for the detection of @Disease$ (CME) in patients with uveitis.	1
40	To compare @Diagnostic_tool$ (OCT) with fundus fluorescein angiography (FFA) for the detection of cystoid macular edema (@Disease$) in patients with uveitis.	1
41	To compare optical coherence tomography (OCT) with @Diagnostic_tool$ (FFA) for the detection of cystoid macular edema (@Disease$) in patients with uveitis.	1
42	To compare optical coherence tomography (@Diagnostic_tool$) with fundus fluorescein angiography (FFA) for the detection of cystoid macular edema (@Disease$) in patients with uveitis.	1
43	To compare optical coherence tomography (OCT) with fundus fluorescein angiography (@Diagnostic_tool$) for the detection of cystoid macular edema (@Disease$) in patients with uveitis.	1
44	To compare @Diagnostic_tool$ (OCT) with fundus fluorescein angiography (FFA) for the detection of cystoid macular edema (CME) in patients with @Disease$.	0
45	To compare optical coherence tomography (OCT) with @Diagnostic_tool$ (FFA) for the detection of cystoid macular edema (CME) in patients with @Disease$.	0
46	To compare optical coherence tomography (@Diagnostic_tool$) with fundus fluorescein angiography (FFA) for the detection of cystoid macular edema (CME) in patients with @Disease$.	0
47	To compare optical coherence tomography (OCT) with fundus fluorescein angiography (@Diagnostic_tool$) for the detection of cystoid macular edema (CME) in patients with @Disease$.	0
48	Patients with suspected @Disease$ underwent OCT scanning followed by @Diagnostic_tool$ at the same visit.	1
49	Patients with suspected @Disease$ underwent @Diagnostic_tool$ followed by FFA at the same visit.	1
50	One hundred eight eyes had similar results on both @Diagnostic_tool$ and FFA in that 67 eyes had @Disease$ and 41 eyes had no CME.	1
51	One hundred eight eyes had similar results on both OCT and @Diagnostic_tool$ in that 67 eyes had @Disease$ and 41 eyes had no CME.	1
52	One hundred eight eyes had similar results on both @Diagnostic_tool$ and FFA in that 67 eyes had CME and 41 eyes had no @Disease$.	0
53	One hundred eight eyes had similar results on both OCT and @Diagnostic_tool$ in that 67 eyes had CME and 41 eyes had no @Disease$.	0
54	Five of these eyes had @Disease$ on @Diagnostic_tool$ but not OCT.	1
55	Five of these eyes had @Disease$ on FFA but not @Diagnostic_tool$.	0
56	Three other eyes had @Disease$ that was detected by @Diagnostic_tool$ but not by OCT.	1
57	Three other eyes had @Disease$ that was detected by FFA but not by @Diagnostic_tool$.	0
58	Compared with FFA, the @Diagnostic_tool$ sensitivity for detecting @Disease$ was 96% (including the eyes with subretinal fluid), and the OCT specificity was 100%.	1
59	Compared with FFA, the OCT sensitivity for detecting @Disease$ was 96% (including the eyes with subretinal fluid), and the @Diagnostic_tool$ specificity was 100%.	0
60	Compared with @Diagnostic_tool$, the OCT sensitivity for detecting @Disease$ was 96% (including the eyes with subretinal fluid), and the OCT specificity was 100%.	1
61	@Diagnostic_tool$ is as effective at detecting @Disease$ as is FFA but is superior in demonstrating axial distribution of fluid.	1
62	OCT is as effective at detecting @Disease$ as is @Diagnostic_tool$ but is superior in demonstrating axial distribution of fluid.	1
63	@Disease$: characteristic features with @Diagnostic_tool$.	1
64	To determine the characteristic features of @Diagnostic_tool$ (ICG-V) of @Disease$.	1
65	To determine the characteristic features of indocyanine green videoangiography (@Diagnostic_tool$) of @Disease$.	1
66	The behavior of @Disease$ cases was observed with @Diagnostic_tool$ and IVFA.	1
67	The behavior of @Disease$ cases was observed with ICG-V and @Diagnostic_tool$.	1
68	On @Diagnostic_tool$, earliest hyperfluorescence of @Disease$ was achieved at a mean of 27.6 seconds (range, 13-62 seconds), whereas maximum hyperfluorescence occurred at 222 seconds (range, 33-707 seconds).	1
69	@Disease$ have specific characteristics on ICG-V that are not visualized with @Diagnostic_tool$.	0
70	@Disease$ have specific characteristics on @Diagnostic_tool$ that are not visualized with IVFA.	1
71	We believe that @Diagnostic_tool$ may become an important noninvasive tool for the diagnosis of @Disease$.	1
72	@Diagnostic_tool$ grading reproducibility during the Comparison of @Disease$ Treatments Trials.	1
73	To report reading center reproducibility during grading of @Diagnostic_tool$ (OCT) (Carl Zeiss Meditec, Dublin, CA) images obtained during the Comparison of @Disease$ Treatments Trials (CATT).	0
74	To report reading center reproducibility during grading of Stratus optical coherence tomography (@Diagnostic_tool$) (Carl Zeiss Meditec, Dublin, CA) images obtained during the Comparison of @Disease$ Treatments Trials (CATT).	0
75	The methods used are suitable to monitor @Diagnostic_tool$ imaging data from a large, @Disease$, interventional, multicenter study.	1
76	Variable corneal compensation improves discrimination between normal and @Disease$ eyes with the @Diagnostic_tool$.	1
77	The aim of this study was to evaluate the relative ability of the @Diagnostic_tool$ with the FCC and with the VCC to discriminate between normal and @Disease$ eyes.	1
78	Individual correction for corneal birefringence with the VCC significantly improved the ability of the @Diagnostic_tool$ to distinguish between normal and glaucomatous eyes and enabled detection of patients with @Disease$.	1
79	Individual correction for corneal birefringence with the VCC significantly improved the ability of the @Diagnostic_tool$ to distinguish between normal and @Disease$ eyes and enabled detection of patients with early glaucoma.	1
