index	sentence	label
0	Personalized Prediction of @Disease$ Progression Under Different Target Intraocular Pressure Levels Using @Diagnostic_tool$.	1
1	Comparison of @Diagnostic_tool$ in management of @Disease$ with ranibizumab.	1
2	To compare the ability to delineate and detect patterns of choroidal neovascularization (CNV) activity in patients with exudative age-related macular degeneration (@Disease$) after ranibizumab treatment between time-domain optical coherence tomography (@Diagnostic_tool$) and 4 different spectral-domain optical coherence tomography (SD-OCT) devices.	0
3	To compare the ability to delineate and detect patterns of choroidal neovascularization (CNV) activity in patients with exudative age-related macular degeneration (@Disease$) after ranibizumab treatment between @Diagnostic_tool$ (TD-OCT) and 4 different spectral-domain optical coherence tomography (SD-OCT) devices.	0
4	To compare the ability to delineate and detect patterns of choroidal neovascularization (CNV) activity in patients with exudative age-related macular degeneration (@Disease$) after ranibizumab treatment between time-domain optical coherence tomography (TD-OCT) and 4 different @Diagnostic_tool$ (SD-OCT) devices.	0
5	To compare the ability to delineate and detect patterns of choroidal neovascularization (CNV) activity in patients with exudative age-related macular degeneration (@Disease$) after ranibizumab treatment between time-domain optical coherence tomography (TD-OCT) and 4 different spectral-domain optical coherence tomography (@Diagnostic_tool$) devices.	0
6	To compare the ability to delineate and detect patterns of choroidal neovascularization (CNV) activity in patients with @Disease$ (AMD) after ranibizumab treatment between time-domain optical coherence tomography (@Diagnostic_tool$) and 4 different spectral-domain optical coherence tomography (SD-OCT) devices.	0
7	To compare the ability to delineate and detect patterns of choroidal neovascularization (CNV) activity in patients with @Disease$ (AMD) after ranibizumab treatment between @Diagnostic_tool$ (TD-OCT) and 4 different spectral-domain optical coherence tomography (SD-OCT) devices.	0
8	To compare the ability to delineate and detect patterns of choroidal neovascularization (CNV) activity in patients with @Disease$ (AMD) after ranibizumab treatment between time-domain optical coherence tomography (TD-OCT) and 4 different @Diagnostic_tool$ (SD-OCT) devices.	0
9	To compare the ability to delineate and detect patterns of choroidal neovascularization (CNV) activity in patients with @Disease$ (AMD) after ranibizumab treatment between time-domain optical coherence tomography (TD-OCT) and 4 different spectral-domain optical coherence tomography (@Diagnostic_tool$) devices.	0
10	SD-OCT is superior to @Diagnostic_tool$ in evaluating for CNV activity in patients with @Disease$ after ranibizumab injection.	0
11	@Diagnostic_tool$ is superior to TD-OCT in evaluating for CNV activity in patients with @Disease$ after ranibizumab injection.	0
