index	sentence	label
0	A review of the medical and @Diagnostic_tool$ of 55 patients with HLA-A29-positive @Disease$.	1
1	The most notable new diagnostic tests in @Disease$ are tear film osmolarity, inflammatory biomarkers, and @Diagnostic_tool$.	1
2	The most notable new diagnostic tests in @Disease$ are @Diagnostic_tool$, inflammatory biomarkers, and meibomian gland imaging.	1
3	The most notable new diagnostic tests in @Disease$ are tear film osmolarity, @Diagnostic_tool$, and meibomian gland imaging.	1
4	What is lost by @Diagnostic_tool$ for macular grading in @Disease$?	0
5	To compare 35-mm stereoscopic slide transparencies with @Diagnostic_tool$ (resolution 1024x768 pixels) for grading abnormalities in age-related maculopathy (ARM) and age-related macular degeneration (@Disease$).	0
6	To compare @Diagnostic_tool$ with digitized nonstereoscopic images (resolution 1024x768 pixels) for grading abnormalities in age-related maculopathy (ARM) and age-related macular degeneration (@Disease$).	0
7	To compare 35-mm stereoscopic slide transparencies with @Diagnostic_tool$ (resolution 1024x768 pixels) for grading abnormalities in @Disease$ (ARM) and age-related macular degeneration (AMD).	1
8	To compare @Diagnostic_tool$ with digitized nonstereoscopic images (resolution 1024x768 pixels) for grading abnormalities in @Disease$ (ARM) and age-related macular degeneration (AMD).	1
9	To compare 35-mm stereoscopic slide transparencies with @Diagnostic_tool$ (resolution 1024x768 pixels) for grading abnormalities in age-related maculopathy (ARM) and @Disease$ (AMD).	0
10	To compare @Diagnostic_tool$ with digitized nonstereoscopic images (resolution 1024x768 pixels) for grading abnormalities in age-related maculopathy (ARM) and @Disease$ (AMD).	1
11	To compare 35-mm stereoscopic slide transparencies with @Diagnostic_tool$ (resolution 1024x768 pixels) for grading abnormalities in age-related maculopathy (@Disease$) and age-related macular degeneration (AMD).	0
12	To compare @Diagnostic_tool$ with digitized nonstereoscopic images (resolution 1024x768 pixels) for grading abnormalities in age-related maculopathy (@Disease$) and age-related macular degeneration (AMD).	0
13	Because of the close agreement for most categories between the grading of @Diagnostic_tool$ and digitized images, digitized nonstereoscopic color images prove to be useful for grading ARM and @Disease$.	1
14	Because of the close agreement for most categories between the grading of stereoscopic color slides and @Diagnostic_tool$, digitized nonstereoscopic color images prove to be useful for grading ARM and @Disease$.	1
15	Because of the close agreement for most categories between the grading of stereoscopic color slides and digitized images, @Diagnostic_tool$ prove to be useful for grading ARM and @Disease$.	1
16	Because of the close agreement for most categories between the grading of @Diagnostic_tool$ and digitized images, digitized nonstereoscopic color images prove to be useful for grading @Disease$ and AMD.	1
17	Because of the close agreement for most categories between the grading of stereoscopic color slides and @Diagnostic_tool$, digitized nonstereoscopic color images prove to be useful for grading @Disease$ and AMD.	1
18	Because of the close agreement for most categories between the grading of stereoscopic color slides and digitized images, @Diagnostic_tool$ prove to be useful for grading @Disease$ and AMD.	1
19	@Diagnostic_tool$ imaging in @Disease$: a corneal structural classification.	0
20	To study corneal morphologic changes in a large @Disease$ population and to establish a structural @Diagnostic_tool$ (OCT) classification.	0
21	To study corneal morphologic changes in a large @Disease$ population and to establish a structural optical coherence tomography (@Diagnostic_tool$) classification.	0
22	All scans were analyzed by @Disease$ specialists who were not given access to patients' clinical and topographic data, and who established an @Diagnostic_tool$ classification.	0
23	Evaluation of the structural corneal changes occurring in @Disease$ cases with various stages of severity based on @Diagnostic_tool$ findings.	1
24	@Diagnostic_tool$ classification containing 5 distinct @Disease$ stages is proposed.	1
25	Clinical and paraclinical characteristics of @Disease$, including visual acuity, corneal epithelium and stromal thickness changes, corneal topography, biomechanical corneal characteristics, and microstructural changes observed on @Diagnostic_tool$, were concordant with our OCT grading.	0
26	Clinical and paraclinical characteristics of @Disease$, including visual acuity, corneal epithelium and stromal thickness changes, corneal topography, biomechanical corneal characteristics, and microstructural changes observed on confocal microscopy, were concordant with our @Diagnostic_tool$ grading.	0
27	@Diagnostic_tool$ provides an accurate assessment of structural changes occurring in @Disease$ eyes.	1
28	@Diagnostic_tool$ to assess @Disease$ in young children.	1
29	"To produce a test of visual acuity for young children that is more sensitive to @Disease$ than current preschool vision tests, the authors surrounded four @Diagnostic_tool$ with  "" crowding ""  bars."	1
30	"To produce a test of visual acuity for young children that is more sensitive to @Disease$ than current @Diagnostic_tool$, the authors surrounded four Allen pictures with  "" crowding ""  bars."	1
31	These results suggest that the @Diagnostic_tool$ induces contour interaction similar to that of line letter tests, and thus, is a more sensitive test of @Disease$ in the preschool child than isolated symbols.	1
