index	sentence	label
0	@Diagnostic_tool$ from 3 different devices were obtained from 19 patients with postoperative PRK and 9 control subjects with @Disease$ and 10 control subjects with myopia.	1
1	@Diagnostic_tool$ from 3 different devices were obtained from 19 patients with postoperative PRK and 9 control subjects with emmetropia and 10 control subjects with @Disease$.	1
2	To introduce and examine the utility of a @Diagnostic_tool$ technique using high-speed optical coherence tomography (OCT) for creating a more complete retinal structural map to aid in the evaluation of patients with @Disease$.	0
3	To introduce and examine the utility of a retinal imaging technique using @Diagnostic_tool$ (OCT) for creating a more complete retinal structural map to aid in the evaluation of patients with @Disease$.	1
4	To introduce and examine the utility of a retinal imaging technique using high-speed optical coherence tomography (@Diagnostic_tool$) for creating a more complete retinal structural map to aid in the evaluation of patients with @Disease$.	0
5	In this study, the capability of statistical analysis indices to characterize static automated visual fields (@Diagnostic_tool$) accurately in cases of @Disease$ was assessed.	1
6	In this study, the capability of statistical analysis indices to characterize @Diagnostic_tool$ (VFs) accurately in cases of @Disease$ was assessed.	1
7	A @Diagnostic_tool$ of the recent lesions showed a dense and diffuse inflammatory cell infiltration, predominantly neutrophilic infiltrates and nuclear dust (leukocytoclasis), located around small blood vessels in the dermis, consistent with the diagnosis of @Disease$.	1
8	ARM is defined as a @Disease$ in persons > or = 50 years of age characterized on grading of @Diagnostic_tool$ by the presence of the following abnormalities in the macular area: soft drusen > or = 63 microns, hyperpigmentation and/or hypopigmentation of the retinal pigment epithelium (RPE), RPE and associated neurosensory detachment, (peri)retinal hemorrhages, geographic atrophy of the RPE, or (peri)retinal fibrous scarring in the absence of other retinal (vascular) disorders.	0
9	@Disease$ is defined as a degenerative disorder in persons > or = 50 years of age characterized on grading of @Diagnostic_tool$ by the presence of the following abnormalities in the macular area: soft drusen > or = 63 microns, hyperpigmentation and/or hypopigmentation of the retinal pigment epithelium (RPE), RPE and associated neurosensory detachment, (peri)retinal hemorrhages, geographic atrophy of the RPE, or (peri)retinal fibrous scarring in the absence of other retinal (vascular) disorders.	1
10	@Diagnostic_tool$ is not used to define the presence of @Disease$.	0
