index	sentence	label
0	Quantitative measurements of the ciliary body in eyes with @Disease$ after trabeculectomy using @Diagnostic_tool$.	1
1	A-scan ultrasonography and @Diagnostic_tool$ measurements were performed on the eyes with malignant glaucoma, the fellow eyes of the patients with @Disease$, and the matched eyes.	0
2	@Diagnostic_tool$ and ultrasound biomicroscopy measurements were performed on the eyes with malignant glaucoma, the fellow eyes of the patients with @Disease$, and the matched eyes.	0
3	A-scan ultrasonography and @Diagnostic_tool$ measurements were performed on the eyes with @Disease$, the fellow eyes of the patients with malignant glaucoma, and the matched eyes.	0
4	@Diagnostic_tool$ and ultrasound biomicroscopy measurements were performed on the eyes with @Disease$, the fellow eyes of the patients with malignant glaucoma, and the matched eyes.	0
5	@Diagnostic_tool$ of cystoid macular edema in @Disease$.	1
6	@Diagnostic_tool$ of @Disease$ in retinal vein occlusion.	1
7	To study the pathomorphologic features of cystoid macular edema (@Disease$) associated with retinal vein occlusion by @Diagnostic_tool$ (OCT) and to study the relationship of the ocular findings to visual function.	1
8	To study the pathomorphologic features of cystoid macular edema (@Disease$) associated with retinal vein occlusion by three-dimensional (3D) optical coherence tomography (@Diagnostic_tool$) and to study the relationship of the ocular findings to visual function.	0
9	To study the pathomorphologic features of @Disease$ (CME) associated with retinal vein occlusion by @Diagnostic_tool$ (OCT) and to study the relationship of the ocular findings to visual function.	1
10	To study the pathomorphologic features of @Disease$ (CME) associated with retinal vein occlusion by three-dimensional (3D) optical coherence tomography (@Diagnostic_tool$) and to study the relationship of the ocular findings to visual function.	0
11	To study the pathomorphologic features of cystoid macular edema (CME) associated with @Disease$ by @Diagnostic_tool$ (OCT) and to study the relationship of the ocular findings to visual function.	1
12	To study the pathomorphologic features of cystoid macular edema (CME) associated with @Disease$ by three-dimensional (3D) optical coherence tomography (@Diagnostic_tool$) and to study the relationship of the ocular findings to visual function.	0
13	Images of @Disease$ pathologic features obtained by 3D OCT and by @Diagnostic_tool$ (Carl Zeiss, Dublin, CA).	1
14	Images of @Disease$ pathologic features obtained by @Diagnostic_tool$ and by Stratus OCT (Carl Zeiss, Dublin, CA).	1
15	The @Diagnostic_tool$ system generates a realistic 3D image of @Disease$ with high resolution.	1
16	Observation of @Disease$ using @Diagnostic_tool$ enabled visualization of its spatial extent in each retinal layer and discernment of its relationship to the ELM.	1
17	The use of @Diagnostic_tool$ thus may improve the monitoring of @Disease$ progression and its response to treatment.	1
18	Incidence of @Disease$ using @Diagnostic_tool$.	1
19	Incidence of @Disease$ on @Diagnostic_tool$ was 47% (95% confidence interval [CI], 37%-56%).	0
20	Advantages and disadvantages of current @Diagnostic_tool$ and recommendations for their use in @Disease$ trials.	1
21	In studies of @Disease$ (without evident signs of active or regressed neovascularization [NV] at baseline), @Diagnostic_tool$ may be sufficient at baseline and end-of-study visit.	1
22	Diagnostic sensitivity of @Diagnostic_tool$ in @Disease$: a comparison between different test programs.	1
