index	sentence	label
0	@Diagnostic_tool$ of 7 standard fields were taken; light box grading was done to determine @Disease$ severity.	1
1	Retinal photographs of 7 standard fields were taken; @Diagnostic_tool$ was done to determine @Disease$ severity.	1
2	To compare fundus photography with @Diagnostic_tool$ in the detection of @Disease$.	1
3	To compare @Diagnostic_tool$ with ophthalmoscopy in the detection of @Disease$.	1
4	Ophthalmoscopy and @Diagnostic_tool$, both performed through dilated pupils, were compared to diagnose retinopathy in a cohort of 410 Oklahoma Indians with @Disease$.	0
5	@Diagnostic_tool$ and fundus photographs with a nonmydriatic camera, both performed through dilated pupils, were compared to diagnose retinopathy in a cohort of 410 Oklahoma Indians with @Disease$.	0
6	Ophthalmoscopy and @Diagnostic_tool$, both performed through dilated pupils, were compared to diagnose @Disease$ in a cohort of 410 Oklahoma Indians with noninsulin-dependent diabetes mellitus.	1
7	@Diagnostic_tool$ and fundus photographs with a nonmydriatic camera, both performed through dilated pupils, were compared to diagnose @Disease$ in a cohort of 410 Oklahoma Indians with noninsulin-dependent diabetes mellitus.	1
8	With a total of 61 cases of @Disease$ diagnosed by either method in our study, @Diagnostic_tool$ alone detected 88.5% and fundus photography, 78.7%.	1
9	With a total of 61 cases of @Disease$ diagnosed by either method in our study, ophthalmoscopy alone detected 88.5% and @Diagnostic_tool$, 78.7%.	1
10	The @Diagnostic_tool$, performed with mydriasis, is comparable to ophthalmoscopy for the detection of @Disease$.	0
11	The fundus photography with a nonmydriatic camera, performed with mydriasis, is comparable to @Diagnostic_tool$ for the detection of @Disease$.	1
12	The @Diagnostic_tool$, performed with @Disease$, is comparable to ophthalmoscopy for the detection of retinopathy.	1
13	The fundus photography with a nonmydriatic camera, performed with @Disease$, is comparable to @Diagnostic_tool$ for the detection of retinopathy.	1
14	It may prove to be a suitable, cost-effective method for routine screening in @Disease$ clinics, provided ophthalmologic referral is ensured for those with a diagnosis of any form of retinopathy, questionable retinopathy, nondiabetic retinopathy, those with poor quality @Diagnostic_tool$, as well as those with acute changes in visual acuity.	0
15	It may prove to be a suitable, cost-effective method for routine screening in diabetes clinics, provided ophthalmologic referral is ensured for those with a diagnosis of any form of @Disease$, questionable retinopathy, nondiabetic retinopathy, those with poor quality @Diagnostic_tool$, as well as those with acute changes in visual acuity.	0
16	It may prove to be a suitable, cost-effective method for routine screening in diabetes clinics, provided ophthalmologic referral is ensured for those with a diagnosis of any form of retinopathy, questionable retinopathy, @Disease$, those with poor quality @Diagnostic_tool$, as well as those with acute changes in visual acuity.	1
17	It may prove to be a suitable, cost-effective method for routine screening in diabetes clinics, provided ophthalmologic referral is ensured for those with a diagnosis of any form of retinopathy, questionable @Disease$, nondiabetic retinopathy, those with poor quality @Diagnostic_tool$, as well as those with acute changes in visual acuity.	1
18	Distribution of @Disease$ severity by @Diagnostic_tool$ was 24 (19.0%)	1
19	Given the additional lesions detected in peripheral fields and the known risks associated with H/Ma and peripheral lesions, quantification of H/Ma using @Diagnostic_tool$ may provide a more accurate representation of @Disease$ disease activity and potential greater accuracy in predicting DR progression.	1
20	Given the additional lesions detected in peripheral fields and the known risks associated with H/Ma and peripheral lesions, quantification of H/Ma using @Diagnostic_tool$ may provide a more accurate representation of DR disease activity and potential greater accuracy in predicting @Disease$ progression.	1
21	A @Diagnostic_tool$ was repeated twice in a short period on the 355 stable @Disease$ eyes, and test-retest fluctuation, including variance at each test point and covariance between 2 test points, was calculated to simulate stable glaucomatous VF series by computer.	1
22	High-resolution stereoscopic digital fundus photography versus @Diagnostic_tool$ for the detection of @Disease$.	1
23	@Diagnostic_tool$ versus contact lens biomicroscopy for the detection of @Disease$.	1
24	The purpose of this study was to compare @Diagnostic_tool$ to contact lens biomicroscopy (CLBM) for the diagnosis of @Disease$.	1
25	The purpose of this study was to compare high-resolution stereoscopic digital photography to contact lens biomicroscopy (@Diagnostic_tool$) for the diagnosis of @Disease$.	1
26	The purpose of this study was to compare high-resolution stereoscopic digital photography to @Diagnostic_tool$ (CLBM) for the diagnosis of @Disease$.	1
27	The @Diagnostic_tool$ were viewed using liquid crystal shutter goggles at least 2 months after clinical examination by a single masked grader for the presence or absence of @Disease$.	1
28	High-resolution stereoscopic digital photography is both sensitive and specific when identifying @Disease$ and correlates well with the accepted standard of @Diagnostic_tool$ for the diagnosis of CSME.	1
29	@Diagnostic_tool$ is both sensitive and specific when identifying @Disease$ and correlates well with the accepted standard of CLBM for the diagnosis of CSME.	1
30	High-resolution stereoscopic digital photography is both sensitive and specific when identifying CSME and correlates well with the accepted standard of @Diagnostic_tool$ for the diagnosis of @Disease$.	1
